Name,Market,Price,CategoryName,CaloriesPer100g,ProteinPer100g,CarbsPer100g,FatPer100g
İçim 1 kg Tam Yağlı Kaymaksız Yoğurt,Carrefoursa,"57,50 TL",sut-ve-kahvaltilik,61,5.2,4.3,3.1
Sütaş 1 kg Tava Yoğurt,Getir Büyük,"77,50 TL",sut-ve-kahvaltilik,61,5.2,4.3,3.1
Mis 750 gr Light Yoğurt,Şok,"35,90 TL",sut-ve-kahvaltilik,61,5.2,4.3,3.1
Peysan 600 gr Yarım Yağlı Süzme Peynir,Tarım Kredi Kooperatifi,"102,50 TL",sut-ve-kahvaltilik,350,25,2,28
Cem 200 gr 351-380 Gemlik Yağlı Vakumlu Sele Zeytin,Tarım Kredi Kooperatifi,"34,90 TL",sut-ve-kahvaltilik,115,0.8,6.3,11
Tarsüt 250 gr Tereyağ,Tarım Kredi Kooperatifi,"96,00 TL",sut-ve-kahvaltilik,717,0.8,0.1,81
Tk 470 gr Tahin + 600 gr Pekmez,Tarım Kredi Kooperatifi,"149,00 TL",sut-ve-kahvaltilik,290,0.6,74,0.3
Tk 200 gr Kaymak,Tarım Kredi Kooperatifi,"54,90 TL",sut-ve-kahvaltilik,428,2,3.4,45
Gürler 800 gr Süzme Yoğurt,Carrefour,"130,75 TL",sut-ve-kahvaltilik,61,5.2,4.3,3.1
Pınar 200 ml Organik Süt,PınarOnline,"22,90 TL",sut-ve-kahvaltilik,64,3.3,4.7,3.5
Bonne Maman 370 gr Kestane Reçeli,Carrefour,"146,20 TL",sut-ve-kahvaltilik,270,0.3,69,0.1
Pınar Organik 4'lü 125 gr Yoğurt,PınarOnline,"74,90 TL",sut-ve-kahvaltilik,61,5.2,4.3,3.1
İçim 400 gr Taze Kaşar Peyniri,Carrefour,"169,95 TL",sut-ve-kahvaltilik,404,25,2,33
"Pınar %2,5 Yağlı 1 lt Süt",PınarOnline,"48,50 TL",sut-ve-kahvaltilik,64,3.3,4.7,3.5
Carrefour 900 gr 201-260 L-XL Doğal Salamura Yağlı Siyah Zeytin,Carrefoursa,"215,00 TL",sut-ve-kahvaltilik,115,0.8,6.3,11
Pınar 500 ml Denge Laktozsuz Süt,Getir Büyük,"32,99 TL",sut-ve-kahvaltilik,64,3.3,4.7,3.5
Nestle 280 gr Crunch Kahvaltılık Gevrek,Carrefour,"88,90 TL",sut-ve-kahvaltilik,367,6.5,83,1.5
İçim 3 kg Tam Yağlı Yoğurt,Bim,"119,00 TL",sut-ve-kahvaltilik,61,5.2,4.3,3.1
Peynir Beyaz 750 Gr Kutu Aknaz,Bim,"142,50 TL",sut-ve-kahvaltilik,350,25,2,28
Koska 500 gr Kakaolu Tahin Helva,Getir Büyük,"112,50 TL",sut-ve-kahvaltilik,595,17,22,53
Mis %3.1 Yağlı 1 lt Süt,Şok,"33,75 TL",sut-ve-kahvaltilik,64,3.3,4.7,3.5
İçim 180 gr Labne,Şok,"45,95 TL",sut-ve-kahvaltilik,212,5,4.5,20
Sade Organik 88 gr Karabuğday Patlağı,Şok,"32,00 TL",sut-ve-kahvaltilik,,,,
Nestle Çikolatalı 480 gr Nesfit,Carrefour,"82,00 TL",sut-ve-kahvaltilik,,,,
Danone 90 gr Süprix Marvel Çilekli Yoğurt,Bim,"39,50 TL",sut-ve-kahvaltilik,61,5.2,4.3,3.1
Activia 4x100 gr Çilekli Yoğurt,Getir Büyük,"65,99 TL",sut-ve-kahvaltilik,61,5.2,4.3,3.1
İ-Anatolia 200 gr Divle Obruk Peyniri,Carrefour,"356,00 TL",sut-ve-kahvaltilik,350,25,2,28
Tarım Kredi Kooperatif 380 gr Extra Geleneksel Çilek Reçeli,PttAVM,"91,25 TL",sut-ve-kahvaltilik,270,0.3,69,0.1
Çizmelioğlu 500 gr Taze Kaşar Peynir,Pazarama,"171,00 TL",sut-ve-kahvaltilik,350,25,2,28
Sütaş 200 ml %3.5 Tam Yağlı Süt,Getir Büyük,"14,50 TL",sut-ve-kahvaltilik,64,3.3,4.7,3.5
Sahre 1 kg İnek Antep Peyniri,Tarım Kredi Kooperatifi,"245,00 TL",sut-ve-kahvaltilik,350,25,2,28
Laçoko 3x320 gr Çifte Kavrulmuş Parçacıklı Fıstık ve Az Kavrulmuş Parçacıklı Fıstık Ezmesi,Pazarama,"480,93 TL",sut-ve-kahvaltilik,588,25,20,50
Kebir 500 gr Mıhlama Peyniri,PttAVM,"305,45 TL",sut-ve-kahvaltilik,350,25,2,28
Çavuşoğlu 3x330 gr Susamlı Tahin Kreması,Pazarama,"286,20 TL",sut-ve-kahvaltilik,595,17,22,53
"Karacadağ Avm 2,5 kg Organik Sade Koyun Yağı",PttAVM,"1.697,40 TL",sut-ve-kahvaltilik,,,,
Köyceğiz Balı 850 gr Cam Kavanoz Çiçek Balı,idefix,"548,25 TL",sut-ve-kahvaltilik,304,0.3,82,0
Kargı 500 gr Tulum Peyniri,PttAVM,"585,11 TL",sut-ve-kahvaltilik,350,25,2,28
Wefood 3x600 gr Organik Tahin,Pazarama,"1.225,90 TL",sut-ve-kahvaltilik,595,17,22,53
Gurmepark 1 kg Çorum Kargı Tulum Peyniri,PttAVM,"1.118,66 TL",sut-ve-kahvaltilik,350,25,2,28
Naturpy 1 kg Glutensiz Yulaf Ezmesi,Amazon-prime,"155,00 TL",sut-ve-kahvaltilik,389,16.9,66.3,6.9
Ariste 300 gr İsli Çerkez Peyniri,Pazarama,"219,00 TL",sut-ve-kahvaltilik,350,25,2,28
Wefood 5x300 Gr Glutensiz Yulaf Ezmesi,PttAVM,"349,77 TL",sut-ve-kahvaltilik,389,16.9,66.3,6.9
Sütaş 2 kg Taze Kaşar Peyniri,Pazarama,"780,00 TL",sut-ve-kahvaltilik,404,25,2,33
Abdurrahman Tatlıcı 3x330 gr  Kakaolu Fındık Ezmesi,PttAVM,"567,84 TL",sut-ve-kahvaltilik,633,14,17,61
Öncü Siyah M 1 kg Yağlı Zeytin,Pazarama,"296,96 TL",sut-ve-kahvaltilik,115,0.8,6.3,11
Kellogg's Frosties 375 gr Kahvaltılık Gevrek,PttAVM,"382,44 TL",sut-ve-kahvaltilik,367,6.5,83,1.5
Sarelle 6x700 gr Kakaolu Fındık Ezmesi,Pazarama,"1.429,00 TL",sut-ve-kahvaltilik,633,14,17,61
Patiswiss 330 gr Kolajenli Kakaolu Fındık Kreması,Amazon-prime,"138,58 TL",sut-ve-kahvaltilik,539,6,57,30
Gönbeler 200 gr Manda Kaymağı,Amazon,"499,00 TL",sut-ve-kahvaltilik,,,,
İçim 180 gr Taze Beyaz Peynir,Getir Büyük,"53,50 TL",sut-ve-kahvaltilik,350,25,2,28
Napoli Antica 80 gr Burrata İnek Peyniri,Carrefour,"173,50 TL",sut-ve-kahvaltilik,350,25,2,28
E-Hamal 30 Adet Organik Yumurta,Pazarama,"346,50 TL",sut-ve-kahvaltilik,143,13,1,10
Beyşehir 16x300 gr Kakaolu Helva,Pazarama,"909,21 TL",sut-ve-kahvaltilik,510,12,55,29
Bozkırlı Çavuşoğlu 930 gr Odun Ateşinde Kepeksiz Bozkır Tahini,PttAVM,"213,80 TL",sut-ve-kahvaltilik,,,,
Toprak Doğal 300 gr Çam Balı,Pazarama,"197,91 TL",sut-ve-kahvaltilik,304,0.3,82,0
Koska 100x20 gr Çikos Piknik Kakaolu Fındık Kreması,Pazarama,"472,50 TL",sut-ve-kahvaltilik,539,6,57,30
Kazdağı 850 gr Polifloralı Çiçek Balı,Pazarama,"765,00 TL",sut-ve-kahvaltilik,304,0.3,82,0
Amesia 500 gr Tereyağ,Pazarama,"366,30 TL",sut-ve-kahvaltilik,717,0.8,0.1,81
Nutella 750 gr + 1 kg Kakaolu Fındık Kreması,Amazon,"674,50 TL",sut-ve-kahvaltilik,539,6,57,30
Züber 3x315 gr Peanutzilla Kakaolu Fıstık Kreması,idefix,"669,90 TL",sut-ve-kahvaltilik,567,25.8,16.1,49.2
Kebir 4x250 gr Gurme Tuzsuz Tereyağı,Pazarama,"557,10 TL",sut-ve-kahvaltilik,717,0.8,0.1,81
İçim 3 kg Tam Yağlı Yoğurt,Bim,"119,00 TL",sut-ve-kahvaltilik,61,5.2,4.3,3.1
Fiskobirlik Nuga 3x700 gr Kakaolu Fındık Kreması,PttAVM,"559,02 TL",sut-ve-kahvaltilik,539,6,57,30
Gürler 800 gr Süzme Yoğurt,Carrefour,"130,75 TL",sut-ve-kahvaltilik,61,5.2,4.3,3.1
Pınar 200 ml Organik Süt,PınarOnline,"22,90 TL",sut-ve-kahvaltilik,64,3.3,4.7,3.5
Bonne Maman 370 gr Kestane Reçeli,Carrefour,"146,20 TL",sut-ve-kahvaltilik,270,0.3,69,0.1
Pınar Organik 4'lü 125 gr Yoğurt,PınarOnline,"74,90 TL",sut-ve-kahvaltilik,61,5.2,4.3,3.1
İçim 400 gr Taze Kaşar Peyniri,Carrefour,"169,95 TL",sut-ve-kahvaltilik,404,25,2,33
"Pınar %2,5 Yağlı 1 lt Süt",PınarOnline,"48,50 TL",sut-ve-kahvaltilik,64,3.3,4.7,3.5
Carrefour 900 gr 201-260 L-XL Doğal Salamura Yağlı Siyah Zeytin,Carrefoursa,"215,00 TL",sut-ve-kahvaltilik,115,0.8,6.3,11
Pınar 500 ml Denge Laktozsuz Süt,Getir Büyük,"32,99 TL",sut-ve-kahvaltilik,64,3.3,4.7,3.5
Nestle 280 gr Crunch Kahvaltılık Gevrek,Carrefour,"88,90 TL",sut-ve-kahvaltilik,367,6.5,83,1.5
Danone 90 gr Süprix Marvel Çilekli Yoğurt,Bim,"39,50 TL",sut-ve-kahvaltilik,61,5.2,4.3,3.1
Activia 4x100 gr Çilekli Yoğurt,Getir Büyük,"65,99 TL",sut-ve-kahvaltilik,61,5.2,4.3,3.1
Ahir 1000 gr Yarım Yağlı Beyaz Peynir,a101,"159,00 TL",sut-ve-kahvaltilik,350,25,2,28
Sek 3 kg Az Yağlı Yoğurt,a101,"89,00 TL",sut-ve-kahvaltilik,50,4,6,1.5
Şokoley 500 gr Kakaolu Fındık Kreması,a101,"65,00 TL",sut-ve-kahvaltilik,539,6,57,30
Pınar 500 ml Protein Vanilyalı Süt,Şok,"44,90 TL",sut-ve-kahvaltilik,64,3.3,4.7,3.5
Malatya Pazarı Murat Palancı 470 gr Süzme Çiçek Balı,Amazon,"136,14 TL",sut-ve-kahvaltilik,304,0.3,82,0
Bonatelli Dulce De Leche 180 gr Özel Süt Reçeli,Tellioğlu Değirmen,"127,00 TL",sut-ve-kahvaltilik,270,0.3,69,0.1
Activia 4x100 gr Sade Probiyotik Yoğurt,Getir Büyük,"67,50 TL",sut-ve-kahvaltilik,61,5.2,4.3,3.1
280 gr Tereyağlı Çekme Helva,PttAVM,"245,47 TL",sut-ve-kahvaltilik,510,12,55,29
Milupa 1 lt Çocuk Devam Sütü,Amazon,"224,90 TL",sut-ve-kahvaltilik,64,3.3,4.7,3.5
%100 315 g Fıstık Ezmesi,Pazarama,"265,50 TL",sut-ve-kahvaltilik,588,25,20,50
Asi Yöresel 1 kg Hatay Keçi Sütlü Tuzlu Yoğurt,Pazarama,"300,90 TL",sut-ve-kahvaltilik,61,5.2,4.3,3.1
İçim Çilekli 400 ml Fit Protein Süt,Carrefoursa,"43,95 TL",sut-ve-kahvaltilik,64,3.3,4.7,3.5
Balparmak Çıt Kapak 350 gr Süzme Çiçek Balı,Şok,"153,90 TL",sut-ve-kahvaltilik,304,0.3,82,0
Koska 700 gr Üzüm Pekmezi,a101,"99,50 TL",sut-ve-kahvaltilik,293,0.5,75,0.2
Torku Yarım Yağlı Süt Uht 1 lt,Bim,"24,75 TL",sut-ve-kahvaltilik,64,3.3,4.7,3.5
Türkova 1500 gr Tost Peyniri,PttAVM,"586,37 TL",sut-ve-kahvaltilik,350,25,2,28
Ekici 225 gr Hellim Peyniri,a101,"73,50 TL",sut-ve-kahvaltilik,350,25,2,28
Pervari Sepeti 850 gr Çiçek Balı,a101,"129,90 TL",sut-ve-kahvaltilik,304,0.3,82,0
Balparmak 2x850 gr Yüksek Yayla Özel Seçim Çiçek Balı,PttAVM,"1.005,14 TL",sut-ve-kahvaltilik,304,0.3,82,0
Carrefour 280 gr Şeker İlavesiz 4 Meyve Reçeli,Carrefour,"74,95 TL",sut-ve-kahvaltilik,270,0.3,69,0.1
Önder 3600 gr Teneke Tahin Helvası,PttAVM,"607,14 TL",sut-ve-kahvaltilik,595,17,22,53
Pınar Labne 750 gr Peynir,PınarOnline,"180,12 TL",sut-ve-kahvaltilik,350,25,2,28
Pınar Denge 1 lt Laktozsuz Süt,a101,"37,50 TL",sut-ve-kahvaltilik,64,3.3,4.7,3.5
Tkv 460 gr Süzme Çiçek Balı,Getir Büyük,"99,99 TL",sut-ve-kahvaltilik,304,0.3,82,0
Kellogg's Special K Kırmızı Meyveli Buğday 400 g Pirinç Gevreği,Getir Büyük,"99,99 TL",sut-ve-kahvaltilik,360,7.1,79,0.5
MarmaraBirlik Hususi Az Tuzlu Zeytin 800 gr 321-350 Adet 16011953,PttAVM,"258,80 TL",sut-ve-kahvaltilik,115,0.8,6.3,11
Pınar 1 lt Çocuk Devam Sütü,Getir Büyük,"52,99 TL",sut-ve-kahvaltilik,64,3.3,4.7,3.5
Kellogs  Mısır Gevreği 650 gr,Şok,"99,00 TL",sut-ve-kahvaltilik,,,,
Altınkılıç 500 gr Tam Yağlı Olgunlaştırılmış İnek Peyniri,Getir Büyük,"202,50 TL",sut-ve-kahvaltilik,350,25,2,28
400 gr Konya Küflü Tulum Peyniri,Pazarama,"262,32 TL",sut-ve-kahvaltilik,350,25,2,28
Türem M Boy 30'lu Yumurta,Tarım Kredi Kooperatifi,"179,00 TL",sut-ve-kahvaltilik,143,13,1,10
Beeo 190 gr Propolis Arı Sütü Ham Bal (Yetişkin),Carrefour,"308,45 TL",sut-ve-kahvaltilik,300,2,60,1.5
Cupido 450 gr Çikolatalı Mısır ve Buğday Gevreği,Bim,"45,00 TL",sut-ve-kahvaltilik,,,,
Nutella 15 gr 120 Adet Kakaolu Fındık Ezmesi,Pazarama,"703,99 TL",sut-ve-kahvaltilik,633,14,17,61
Torku Frema 400 gr Kakaolu Fındık Krema,a101,"49,00 TL",sut-ve-kahvaltilik,628,15.0,17.0,61.0
Kumartaşlı 15' li L 63-72 gr Yumurta,Tarım Kredi Kooperatifi,"82,00 TL",sut-ve-kahvaltilik,143,13,1,10
Unicorn 375 gr Froot Loops Gevrek,Pazarama,"350,91 TL",sut-ve-kahvaltilik,367,6.5,83,1.5
Evde 100 gr Şirden Peynir Mayası,Şok,"69,90 TL",sut-ve-kahvaltilik,350,25,2,28
Kelly's 500 gr Corn Flakes Ballı Mısır Gevreği,Pazarama,"166,50 TL",sut-ve-kahvaltilik,,,,
Nesquik 180 ml Kakaolu Süt Seti,Getir Büyük,"17,99 TL",sut-ve-kahvaltilik,64,3.3,4.7,3.5
Freelife 30'lu M 53-62 gr Beyaz Yumurta,Carrefour,"123,45 TL",sut-ve-kahvaltilik,143,13,1,10
Ünal 600 gr Tost Peyniri Kaşar,PttAVM,"192,10 TL",sut-ve-kahvaltilik,350,25,2,28
Abdurrahman Tatlıcı 200 gr Tadışah Antep Fıstığı Kreması,Pazarama,"219,99 TL",sut-ve-kahvaltilik,562,20.0,28.0,45.0
Abdurrahman Tatlıcı 330 gr Tadıbu Parçacıklı Fındık Ezmesi,Pazarama,"178,99 TL",sut-ve-kahvaltilik,633,14,17,61
Nestle 36x20 gr Professional Kakaolu Fındık Kreması,PttAVM,"374,85 TL",sut-ve-kahvaltilik,539,6,57,30
"Köyceğiz 4,85 kg Teneke Çam Balı",PttAVM,"3.270,75 TL",sut-ve-kahvaltilik,304,0.3,82,0
Silifke Sepeti 420 gr Süt Reçeli,Pazarama,"210,00 TL",sut-ve-kahvaltilik,270,0.3,69,0.1
Kardeşler 10 kg Ahududu Reçeli,PttAVM,"1.822,42 TL",sut-ve-kahvaltilik,270,0.3,69,0.1
Koçulu Çiftliği 1100 gr Kara Kovan Balı,Pazarama,"936,00 TL",sut-ve-kahvaltilik,304,0.3,82,0
Eğriçayır 850 gr Organik Çam Balı,PttAVM,"981,24 TL",sut-ve-kahvaltilik,304,0.3,82,0
Alan Zeytin 2 kg Özel Special Yağlı Siyah Zeytin,Pazarama,"909,00 TL",sut-ve-kahvaltilik,115,0.8,6.3,11
Helsan 1 kg Üzüm Pekmezi,PttAVM,"253,91 TL",sut-ve-kahvaltilik,293,0.5,75,0.2
Gurmezza 900 gr Ev Yapımı Alıç Marmelatı,PttAVM,"270,94 TL",sut-ve-kahvaltilik,,,,
Ev Yapımı 900 gr Kızılcık Marmeladı,PttAVM,"270,94 TL",sut-ve-kahvaltilik,,,,
Lexton 640 gr Pasiflora Ve Mayıs Papatya Lavanta Aroma Özü,PttAVM,"175,66 TL",sut-ve-kahvaltilik,,,,
Gökkız 270 gr Süzme Çiçek Balı,PttAVM,"101,97 TL",sut-ve-kahvaltilik,304,0.3,82,0
Tuğba Kuruyemiş 160 gr Sade Pişmaniye,Pazarama,"153,90 TL",sut-ve-kahvaltilik,,,,
Pınar 180 gr Limon Cheesecake Soslu Labne,PınarOnline,"53,47 TL",sut-ve-kahvaltilik,29,1.1,9.3,0.3
"Gaziantep Pazarı 2,5 kg Yulaf Kepeği",PttAVM,"214,27 TL",sut-ve-kahvaltilik,389,16.9,66.3,6.9
Datça 450 gr Çam Balı,PttAVM,"210,24 TL",sut-ve-kahvaltilik,304,0.3,82,0
Laçoko 4x1 kg Şekersiz Katkısız Vegan Tahin,PttAVM,"1.168,04 TL",sut-ve-kahvaltilik,595,17,22,53
"Okyay 1,9 kg Üzüm Pekmezi",Pazarama,"481,50 TL",sut-ve-kahvaltilik,293,0.5,75,0.2
"Richland 1,5 kg Yulaf Ezmesi",Pazarama,"209,70 TL",sut-ve-kahvaltilik,389,16.9,66.3,6.9
Kuzucu 200 gr Çeçil Peyniri,Pazarama,"170,59 TL",sut-ve-kahvaltilik,350,25,2,28
Kuzucu 150 gr Rulo Kaymak,Pazarama,"252,08 TL",sut-ve-kahvaltilik,428,2,3.4,45
Doğadan Bizim Maya Probiotik 5 x 2 gr Yoğurt Mayası,PttAVM,"153,33 TL",sut-ve-kahvaltilik,61,5.2,4.3,3.1
Balbirlik 5 kg Naturem Kova Süzme Çiçek Balı,PttAVM,"610,21 TL",sut-ve-kahvaltilik,304,0.3,82,0
Elvan 750 gr Krem Şokella,PttAVM,"122,22 TL",sut-ve-kahvaltilik,,,,
Gülsan 2x720 gr Pet Tahin,PttAVM,"292,57 TL",sut-ve-kahvaltilik,595,17,22,53
Filiz 1000 gr Antep Fıstıklı Helva,PttAVM,"538,80 TL",sut-ve-kahvaltilik,510,12,55,29
Aksuvital 300 gr Ham Çiçek Balı,PttAVM,"316,64 TL",sut-ve-kahvaltilik,304,0.3,82,0
Halhalı 350 gr Yeşil Zeytin,PttAVM,"189,90 TL",sut-ve-kahvaltilik,145,1.0,3.8,15
"Laçoko 3 kg İsme Özel Şekersiz,Glutensiz,Doğal Çifte Kavrulmuş Parçacıklı Extra Crunchy Fıstık Ezmesi",PttAVM,"814,35 TL",sut-ve-kahvaltilik,588,25,20,50
Abdurrahman Tatlıcı 12x330 gr Tadıbu Kakaolu Fındık Ezmesi,PttAVM,"1.699,00 TL",sut-ve-kahvaltilik,633,14,17,61
Laçoko 1 kg Şekersiz Katkısız Glutensiz Vegan Doğal Çifte Kavrulmuş Parçacıklı Ballı Yer Fıstığı Ezmesi,PttAVM,"372,76 TL",sut-ve-kahvaltilik,,,,
Tunas 1000 ml Pet Tahin,Pazarama,"229,00 TL",sut-ve-kahvaltilik,595,17,22,53
Şekerhanım 300 gr Şeker İlavesiz Ahududu Reçeli,Vegan Pazaryeri,"229,90 TL",sut-ve-kahvaltilik,270,0.3,69,0.1
H.Ö 444 350 gr Öztürkler Tereyağı,idefix,"279,00 TL",sut-ve-kahvaltilik,717,0.8,0.1,81
Kardeşler 5 kg Ahududu Reçeli,PttAVM,"963,82 TL",sut-ve-kahvaltilik,270,0.3,69,0.1
Kardeşler Şekerleme 3500 gr Vişne Reçeli,idefix,"729,90 TL",sut-ve-kahvaltilik,270,0.3,69,0.1
Sütaş 225 gr Dilimli Burger Peyniri,idefix,"124,50 TL",sut-ve-kahvaltilik,350,25,2,28
Halis 500 gr Sade Helva,Pazarama,"260,10 TL",sut-ve-kahvaltilik,510,12,55,29
Bozkırlı Çavuşoğlu 12x930 gr Odun Ateşinde Kepeksiz Bozkır Tahini,PttAVM,"2.007,81 TL",sut-ve-kahvaltilik,,,,
Niyazibey Çiftliği 500 gr Manda Peyniri,PttAVM,"157,96 TL",sut-ve-kahvaltilik,350,25,2,28
